GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EducacaoContinuadaGamificada,br.edu.gamificacao,EducacaoContinuadaGamificadaApplication,8,0,0,0,3,0,2,0,2,0
EducacaoContinuadaGamificada,br.edu.gamificacao.domain,ProgressoGamificado,0,138,0,10,0,35,0,17,0,12
